,County,State,Outbreak Date,Flock Type,Flock Size
0,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,23400
1,Ottawa,Michigan,12-31-2024,Commercial Turkey Meat Bird,29400
2,Miner,South Dakota,12-31-2024,WOAH Poultry,1500
3,Spartanburg,South Carolina,12-31-2024,Commercial Upland Gamebird Producer,920
4,Jackson,Michigan,12-31-2024,WOAH Non-Poultry,9
5,Riverside,California,12-31-2024,Commercial Table Egg Layer,181300
6,Butte,California,12-31-2024,WOAH Non-Poultry,70
7,Tipton,Tennessee,12-30-2024,WOAH Non-Poultry,10
8,Twin Falls,Idaho,12-30-2024,WOAH Non-Poultry,30
9,Copiah,Mississippi,12-30-2024,Commercial Broiler Production,210000
10,Johnson,Nebraska,12-30-2024,Commercial Broiler Production,209100
11,Clay,Arkansas,12-30-2024,Commercial Broiler Production,227500
12,Edmunds,South Dakota,12-30-2023,Commercial Upland Gamebird Producer,1400
13,Snohomish,Washington,12-30-2022,WOAH Poultry,180
14,Sanilac,Michigan,12-30-2022,WOAH Non-Poultry,30
15,Mcintosh,North Dakota,12-29-2023,WOAH Non-Poultry,110
16,Carson,Texas,12-29-2023,WOAH Non-Poultry,30
17,Pierce,Washington,12-29-2022,WOAH Non-Poultry,40
18,Sonoma,California,12-28-2023,Commercial Table Egg Layer,37300
19,Audrain,Missouri,12-28-2023,WOAH Poultry,330
20,Marin,California,12-28-2023,Commercial Table Egg Pullets,151000
21,Missoula,Montana,12-28-2023,WOAH Non-Poultry,6
22,Sonoma,California,12-28-2023,Commercial Table Egg Layer,52400
23,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,43600
24,Elk,Kansas,12-28-2022,WOAH Non-Poultry,30
25,Weakley,Tennessee,12-28-2022,Commercial Broiler Breeder,19000
26,Sheridan,Wyoming,12-27-2024,WOAH Non-Poultry,0
27,Burnett,Wisconsin,12-27-2024,Commercial Turkey Meat Bird,18600
28,Stanislaus,California,12-27-2024,Commercial Broiler Production,101700
29,Cooper,Missouri,12-27-2024,Commercial Turkey Breeder Hens,14900
30,Sacramento,California,12-27-2024,Commercial Broiler Production,153800
31,Coffey,Kansas,12-27-2024,WOAH Non-Poultry,50
32,Anderson,Kansas,12-27-2024,WOAH Non-Poultry,40
33,Darke,Ohio,12-27-2024,Commercial Table Egg Layer,931300
34,Ottawa,Michigan,12-27-2024,Commercial Turkey Meat Bird,113200
35,Pemiscot,Missouri,12-27-2024,WOAH Non-Poultry,70
36,Hardin,Ohio,12-27-2023,Commercial Table Egg Pullets,1363900
37,Garfield,Oklahoma,12-27-2023,WOAH Non-Poultry,30
38,Muskegon,Michigan,12-27-2023,Commercial Turkey Meat Bird,31500
39,Northumberland,Pennsylvania,12-27-2023,Commercial Raised for Release Upland Game Bird,98300
40,Todd,Minnesota,12-27-2023,Commercial Turkey Meat Bird,78800
41,Phillips,Kansas,12-26-2024,WOAH Non-Poultry,10
42,Merced,California,12-26-2023,Commercial Table Egg Layer,709000
43,Franklin,Vermont,12-24-2024,WOAH Non-Poultry,20
44,Cass,Missouri,12-24-2024,WOAH Non-Poultry,60
45,Riverside,California,12-24-2024,Commercial Table Egg Layer,1105500
46,Stanislaus,California,12-24-2024,Commercial Table Egg Layer,392100
47,San Joaquin,California,12-24-2024,Commercial Table Egg Layer,627800
48,Dade,Missouri,12-24-2024,WOAH Non-Poultry,90
49,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,45000
50,Adair,Oklahoma,12-24-2024,Commercial Turkey Meat Bird,81400
51,Lawrence,Illinois,12-23-2024,Commercial Turkey Meat Bird,40300
52,El Dorado,California,12-23-2024,WOAH Non-Poultry,30
53,Ottawa,Michigan,12-23-2024,Commercial Turkey Meat Bird,75500
54,Glenn,California,12-22-2022,Commercial Upland Gamebird Producer,32000
55,Edmunds,South Dakota,12-21-2023,Commercial Upland Gamebird Producer,3800
56,Dodge,Nebraska,12-21-2023,WOAH Non-Poultry,40
57,St. Clair,Illinois,12-21-2022,WOAH Non-Poultry,60
58,Umatilla,Oregon,12-21-2022,WOAH Non-Poultry,10
59,Weakley,Tennessee,12-21-2022,WOAH Poultry,28800
60,Bates,Missouri,12-21-2022,WOAH Non-Poultry,30
61,Greene,Mississippi,12-20-2024,Commercial Broiler Breeder,26000
62,Craighead,Arkansas,12-20-2024,WOAH Non-Poultry,50
63,Cooper,Missouri,12-20-2024,Commercial Turkey Breeder Hens,13000
64,Sedgwick,Kansas,12-20-2024,WOAH Non-Poultry,30
65,Chippewa,Minnesota,12-20-2024,Commercial Turkey Meat Bird,54800
66,Houston,Minnesota,12-20-2024,WOAH Non-Poultry,60
67,Charles Mix,South Dakota,12-20-2023,Commercial Upland Gamebird Producer,50
68,Merced,California,12-20-2023,Commercial Turkey Meat Bird,73700
69,Benton,Oregon,12-20-2023,WOAH Non-Poultry,50
70,Merced,California,12-20-2023,Commercial Table Egg Layer,243300
71,Mahaska,Iowa,12-20-2023,WOAH Non-Poultry,30
72,Weld,Colorado,12-20-2022,Commercial Table Egg Layer,239700
73,Hanson,South Dakota,12-20-2022,Commercial Turkey Meat Bird,31800
74,Gem,Idaho,12-20-2022,WOAH Non-Poultry,80
75,Greene,Ohio,12-19-2024,WOAH Poultry,110
76,Fillmore,Minnesota,12-19-2024,Commercial Turkey Meat Bird,28600
77,Jackson,Arkansas,12-19-2024,WOAH Non-Poultry,230
78,Stearns,Minnesota,12-19-2024,Commercial Turkey Meat Bird,12600
79,Kenosha,Wisconsin,12-19-2024,WOAH Poultry,6
80,Cullman,Alabama,12-19-2024,Commercial Broiler Production,116000
81,Stanislaus,California,12-19-2024,Commercial Table Egg Layer,295800
82,Deschutes,Oregon,12-19-2024,WOAH Non-Poultry,90
83,Coos,Oregon,12-19-2024,WOAH Non-Poultry,40
84,Pickens,Alabama,12-19-2024,WOAH Non-Poultry,50
85,Lassen,California,12-19-2023,WOAH Non-Poultry,90
86,Mcpherson,Kansas,12-19-2023,WOAH Poultry,20000
87,King,Washington,12-19-2023,WOAH Poultry,90
88,Muskegon,Michigan,12-19-2023,Commercial Turkey Meat Bird,47900
89,Rice,Kansas,12-19-2023,Commercial Table Egg Layer,800000
90,Barton,Kansas,12-19-2023,WOAH Non-Poultry,70
91,Sonoma,California,12-19-2023,Commercial Duck Meat Bird,3600
92,Mendocino,California,12-19-2022,WOAH Non-Poultry,20
93,Jefferson Davis,Louisiana,12-18-2024,WOAH Non-Poultry,30
94,Nelson,North Dakota,12-18-2024,WOAH Non-Poultry,60
95,Howard,Missouri,12-18-2024,WOAH Non-Poultry,60
96,Doniphan,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5700
97,Rooks,Kansas,12-18-2024,Commercial Raised for Release Upland Game Bird,5300
98,Edmunds,South Dakota,12-18-2023,Commercial Upland Gamebird Producer,1000
99,Sonoma,California,12-18-2023,Commercial Table Egg Layer,497700
100,Sonoma,California,12-18-2023,WOAH Poultry,38100
101,Rice,Kansas,12-18-2023,WOAH Non-Poultry,100
102,Worth,Iowa,12-17-2024,Commercial Turkey Meat Bird,19500
103,Charles Mix,South Dakota,12-17-2024,WOAH Poultry,1800
104,Charles Mix,South Dakota,12-17-2024,Commercial Turkey Meat Bird,74800
105,Bon Homme,South Dakota,12-17-2024,Commercial Turkey Meat Bird,48700
106,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,20
107,Lemhi,Idaho,12-17-2024,WOAH Non-Poultry,150
108,O'brien,Iowa,12-17-2024,Commercial Table Egg Layer,351400
